jedyorkgoat	@bdepouw09 @OhioState @NCAA suck my ass
MarilynHadley4	RT @FOXSportsOH: It's almost ⏰ for The Ga❌e!  But first, relive our @OhioState vs. TTUN baby race. #BeatMichigan https://t.co/xQ9PzGV8VQ
lyncrainmaker	RT @OhioState: Awww, aren't they cute?! #BuckeyeBabies 👶 born this week (11/20-11/25) @OSUWexMed will receive a "#BeatMichigan" sleep sack…
HeatherT567	@OhioStAthletics @Brutus_Buckeye  @OhioState flag up and ready to watch @OSUCoachMeyer &amp; the @OhioStateFB beat TTUN… https://t.co/CxQerdrnnk
EricaLynnFly	RT @KetchamPaul: “The Game” is here! Go Bucks, Beat ❌ichigan! O-H... @OhioStateFB @OhioStAthletics @11W #OSUvsMICH  @OhioState @Brutus_Buck…
monicafcox	RT @RedCrossBloodOH: The @OhioState University @RedCrossOSU has won the 2017 #BloodBattle against @UMich by 53 donations! Thanks to all who…
Cubsfan2384	RT @CubsRSpiritual: @OhioState Go Blue !!
BronsonP_22	Al❌ost ti❌e for The Ga❌e! #BeatTTUN let’s go buckeyes! @OhioStateFB @OhioState
JosephLagaud	RT @FOXSportsOH: It's almost ⏰ for The Ga❌e!  But first, relive our @OhioState vs. TTUN baby race. #BeatMichigan https://t.co/xQ9PzGV8VQ
hilljennaudrey	RT @OhioState: Did so❌eone say BINGO? Download your Buckeye Bingo board to play along during the ga❌e! #BeatTTUN https://t.co/X8rNnOplVh
KetchamPaul	RT @KetchamPaul: “The Game” is here! Go Bucks, Beat ❌ichigan! O-H... @OhioStateFB @OhioStAthletics @11W #OSUvsMICH  @OhioState @Brutus_Buck…
BTNLiveBIG	Meet the fastest #Buckeyes on land: the clean, #green, all-electric @buckeyebullet3 from @OhioState.… https://t.co/dWx6GqBzSJ
w_cobb25	RT @FOXSportsOH: It's almost ⏰ for The Ga❌e!  But first, relive our @OhioState vs. TTUN baby race. #BeatMichigan https://t.co/xQ9PzGV8VQ
bigtech__	@OhioStateFB @OhioStAthletics  @OhioState how is Urban Meyers  brain injury?  Is he really resigning?
